node_1,node_2
53,37377
21502,31946
40491,24448
31198,45558
1659,28617
10667,24423
16028,47178
40596,44312
13345,23007
27274,32701
1302,30093
5984,37300
8199,24536
40758,41029
31205,12943
23606,15931
24791,42043
24866,41788
20514,40965
5154,12731
267,26165
6672,22958
5419,46384
27190,46768
14071,19124
45015,40880
45390,38821
26080,17775
31785,32308
521,28771
14172,12598
13610,33684
3665,21619
18892,27308
3293,38321
40223,42912
23467,15114
11519,38804
7560,24536
1466,29373
14086,27848
19152,27337
26575,40951
4971,36745
22018,30257
5407,24458
14431,16363
18090,27104
37224,45372
39619,46391
20075,25474
10085,34949
28682,45512
20260,20572
4876,11242
84,36711
16996,31177
22497,9471
8891,23796
12441,43170
23151,43560
14624,26255
14751,4997
23941,17824
14438,24574
16882,29461
285,40232
12261,24111
13178,38778
4317,31688
1534,35670
33352,44024
26681,44344
34784,27166
7894,14333
10257,38956
781,39487
2695,37275
7690,25314
33109,42223
80,28289
571,31810
27657,42609
13536,39787
23168,34146
37418,25128
37456,42691
19004,36764
11257,22426
22987,39757
43041,22601
19814,37907
19358,29848
2302,22105
37569,46079
14675,20699
25225,46622
25417,35902
33767,47442
2937,15905
12805,26491
12226,30109
30478,37994
29116,40540
10918,11103
10519,14398
25901,33032
131,6485
15578,41996
29669,41466
32943,35563
17971,35689
14372,28498
9187,10363
15827,40367
903,6614
4104,39641
4232,26274
2362,14525
1784,39999
15048,30409
46429,36326
10314,43666
33081,37354
12387,46508
33604,35381
31350,39603
5997,8374
13907,14241
557,31769
9043,39966
31510,17928
42794,45873
22658,46071
24505,27136
15431,2100
13204,33450
4483,11259
5209,23589
469,45400
9049,42574
5487,13781
23216,39241
4580,44631
34098,47479
33732,22840
18299,6349
18495,35988
4238,26684
34159,20518
31571,45335
4315,9521
10201,46684
1083,43472
11717,24612
30075,14840
34273,20391
4405,6597
14428,36408
46621,47488
4129,20338
10352,30068
26610,36910
11225,37504
1114,13975
1047,21088
41125,21273
18767,28659
31569,45391
32749,40036
11506,45069
11472,16412
2391,31617
27059,30305
14152,39588
7207,36310
13591,35137
648,33126
42470,16662
9396,45961
9272,10205
21939,28868
16303,44627
41529,19588
13158,21651
28326,31123
2859,22235
41464,40128
15995,38410
1235,1527
24803,47428
31744,39577
46963,31868
31363,35900
2631,12621
28311,35054
18584,30255
32841,34621
31796,32957
1455,31895
4045,44216
9856,47137
26491,13386
33744,23105
45919,46436
4563,35236
8067,16930
1776,21367
8730,35867
24536,5534
777,35845
25681,39627
26838,41210
26188,41062
7850,44454
39497,16055
8085,37685
8569,38046
45763,11088
26527,35846
3173,12028
21154,42035
25878,44238
9440,13484
10610,14297
26621,34497
6022,38850
30425,38262
40764,26003
24465,29550
23448,35132
28929,27362
14035,29743
14706,33428
16621,34094
588,30890
17549,41473
23015,30980
38252,45266
42585,45915
8811,15420
20924,45066
1848,30853
556,3176
25009,28343
29402,47414
17079,28704
9759,44490
35654,47114
25048,30802
1802,47056
5132,38893
4477,17897
17714,42507
