node_1,node_2
13023,18519
2383,8796
28594,39501
7821,22588
18751,41287
7164,15029
12943,16109
36903,39851
8938,35249
8974,20243
11333,12665
33433,19093
1670,31477
11228,13055
200,28590
2609,2994
15261,15557
12726,18236
4363,39186
6473,38429
22176,32917
9970,26254
23377,34499
7793,20394
1127,29781
21039,23820
6707,11909
10401,25601
15825,38136
14166,18530
5151,32692
24830,39524
3366,18539
10661,17251
37289,38946
35202,39205
7269,36323
20775,22897
1171,13023
21149,27254
3288,39702
2957,41234
23133,32180
8253,24922
18962,29787
6680,21235
16314,31012
23322,32185
12946,29850
4644,6026
40777,40432
1977,4524
15639,30809
4988,10675
988,30963
15046,23505
15419,36190
6130,22683
25476,39319
11421,12403
16940,32259
9169,11065
11065,41057
22497,35549
40666,12628
4601,39259
14564,11441
25217,31214
1896,13183
23145,30087
19339,27758
885,29844
10426,10923
4457,13688
1467,13881
6070,24637
11026,34470
23950,6188
3125,38542
1617,40729
14942,17794
31318,40910
9486,25962
8345,26491
4030,22816
57,39749
7696,15433
27670,39602
3045,25142
4540,8213
19024,19043
5297,21020
8552,31867
4551,28937
25610,40647
30127,40363
1052,4295
35021,36460
22691,27405
20383,39879
2864,21532
29448,22070
15584,18220
8637,34914
9350,37193
5243,40678
28010,5205
8478,37861
25887,33517
25096,38881
35298,38821
20815,26586
16593,21868
20556,37405
23344,30431
31064,35021
15579,33942
4592,36902
2297,18506
28968,31867
7534,35270
3035,36806
10080,39090
4547,34281
9132,39559
2095,34343
17050,35263
23224,19315
37492,24235
221,35472
15092,21121
34342,8693
14881,17535
26255,31558
5775,37253
35098,39385
9149,17303
3325,11038
26220,33616
34907,40129
14303,16265
232,2775
8238,9525
27691,35153
36459,38349
4188,20316
11165,39468
12613,41271
11606,16450
9870,25010
2639,11626
5179,29710
1978,34086
15466,30912
19273,26112
22723,40550
35731,36467
2498,34090
932,23483
25243,36893
7650,8013
14061,39597
30824,36960
608,23148
12478,17509
27523,29610
32080,41212
23985,31667
29605,37589
28297,29789
7972,28821
10677,21595
153,37224
36921,12825
14426,38882
1064,27017
7466,21253
3389,36833
6545,18573
75,20452
17940,28531
25812,32227
10802,40119
29351,36770
34358,35419
4795,11505
26574,16879
15648,32679
3846,29315
6917,13991
17885,41395
3036,30847
21953,11154
22068,36678
5070,38297
34903,20836
12510,39530
27697,34056
15184,6346
15178,18036
38347,20501
2025,27231
2445,24095
1769,3334
14639,25245
9118,14100
6485,36290
1644,6284
18857,26232
17513,19146
14529,14618
10955,27054
27441,30240
15665,39653
4097,24420
19528,24571
8848,19323
862,1771
17992,31399
16960,33500
10556,14258
7114,40360
11704,38025
20531,23859
13739,37159
